Region,Registered,ACC,Ratio of ACC/Registered,,1006_classified as menacing,1007_classified as dangerous,1016_total paid (excl. GST) for injuries this yr,lat,lng,menacing/registered
Ashburton District,7023,85,1.21,,41,4,82394,-43.6983477,171.4278984,0.583796099
Auckland (Group),101448,3750,3.7,,2188,61,1145834,-36.8567161,174.7669066,2.156769971
Buller District,2368,33,1.39,,30,11,3428,-42.0330351,171.9534815,1.266891892
Carterton District,2637,18,0.68,,19,3,2086,-41.1585232,175.643487,0.720515738
Central Hawke's Bay District,5208,46,0.88,,17,0,5224,-40.0106163,176.4996546,0.326420891
Central Otago District,5572,66,1.18,,0,3,22293,-45.2828265,169.6567993,0
Christchurch City,35716,1118,3.13,,401,56,296292,-43.5320544,172.6362254,1.122746108
Clutha District,6459,43,0.67,,30,0,36414,-46.1227873,169.6378412,0.464468184
Dunedin City,16319,279,1.71,,217,7,114950,-45.8787605,170.5027976,1.329738342
Far North District,8931,327,3.66,,105,0,66513,-35.1290228,173.5070203,1.175680215
Gisborne District,10203,168,1.65,,203,20,19002,-38.1309688,178.0118473,1.989610899
Hamilton City,10710,382,3.57,,265,2,85071,-37.774985,175.1948843,2.474323063
Hastings District,10414,260,2.5,,279,5,55193,-39.3718812,176.0750211,2.679085846
Hauraki District,4331,48,1.11,,98,9,4664,-37.345463,175.643487,2.262756869
Horowhenua District,6093,107,1.76,,196,20,26569,-40.5804655,175.3136218,3.216806171
Hurunui District,5619,57,1.01,,19,5,16194,-42.7891728,172.7347142,0.338138459
Hutt City,8923,232,2.6,,168,41,74634,-41.2114473,174.9002665,1.882774852
Invercargill City,7821,124,1.59,,127,8,28287,-46.4131866,168.3537731,1.623833269
Kaipara District,5140,99,1.93,,34,0,28753,-36.027261,174.0167423,0.661478599
Kapiti Coast District,6803,156,2.29,,89,2,28530,-40.8233475,175.3136218,1.308246362
Mackenzie District,1765,21,1.19,,1,1,2509,-44.1357938,170.2767327,0.056657224
Manawatu District,6414,83,1.29,,102,3,9397,-40.1469349,175.684578,1.590271282
Marlborough District,9686,124,1.28,,76,5,21503,-41.57269,173.4216613,0.784637621
Masterton District,5430,106,1.95,,94,8,11950,-40.9648714,175.8486236,1.731123389
Matamata-Piako District,5007,78,1.56,,56,0,11652,-37.6450708,175.684578,1.118434192
Napier City,6925,247,3.57,,158,17,106197,-39.4928444,176.9120178,2.281588448
Nelson City,4637,149,3.21,,76,16,15300,-41.2706319,173.2839653,1.638990727
New Plymouth District,9993,256,2.56,,233,25,43651,-39.1011196,174.3542049,2.331632142
New Zealand,535987,12478,2.33,,8029,590,3283640,-40.900557,174.885971,1.497984093
Opotiki District,1540,54,3.51,,58,2,15420,-38.0072113,177.2871551,3.766233766
Otorohanga District,2295,21,0.92,,33,0,3654,-38.1778076,175.2308414,1.437908497
Palmerston North City,7455,205,2.75,,127,0,49354,-40.3523065,175.6082145,1.703554661
Queenstown-Lakes District,3764,68,1.81,,18,1,9152,-45.0311622,168.6626435,0.478214665
Rangitikei District,4847,44,0.91,,36,1,22656,-39.6603606,175.8486236,0.74272746
Rotorua District,10657,285,2.67,,445,6,48034,-38.1368478,176.2497461,4.175659191
Ruapehu District,4566,44,0.96,,53,9,14665,-39.1452335,175.354965,1.160753395
Selwyn District,11346,56,0.49,,43,3,16533,-43.2652165,171.7787021,0.37898819
South Taranaki District,4757,52,1.09,,136,0,10862,-39.605475,174.5222189,2.858944713
South Waikato District,3791,77,2.03,,124,1,12388,-38.0594263,175.4375574,3.270904774
South Wairarapa District,2847,42,1.48,,22,0,6599,-41.2676432,175.354965,0.772743238
Southland District,13146,69,0.52,,44,8,16467,-45.8489159,167.6755387,0.334702571
Stratford District,2178,16,0.73,,13,1,1616,-39.2355447,174.564147,0.59687787
Tararua District,6517,63,0.97,,67,7,11219,-40.4848018,176.0121573,1.028080405
Tasman District,9959,108,1.08,,80,8,39775,-41.2122123,172.7347142,0.803293503
Taupo District,6335,127,2,,65,17,28829,-38.7554745,176.0937312,1.026045777
Tauranga City,10082,388,3.85,,117,25,101025,-37.6877975,176.1651295,1.160484031
Thames-Coromandel District,4254,135,3.17,,51,4,22471,-37.1332657,175.684578,1.19887165
Timaru District,8711,107,1.23,,52,6,25060,-44.139673,171.2518833,0.59694639
Upper Hutt City,5399,124,2.3,,66,21,20334,-41.1244327,175.0707834,1.222448602
Waikato District,12790,178,1.39,,138,5,40414,-38.0594263,175.4375574,1.078967944
Waimakariri District,10768,120,1.11,,53,12,23288,-43.3017202,172.3017728,0.492199108
Waimate District,3062,16,0.52,,12,1,3762,-44.548055,170.7214417,0.391900718
Waipa District,7121,89,1.25,,44,8,18886,-37.9780721,175.520024,0.617890746
Wairoa District,3358,36,1.07,,58,1,11653,-38.7020241,177.1422895,1.727218582
Waitaki District,5426,44,0.81,,27,12,4029,-44.9873854,170.6015009,0.497604128
Waitomo District,3864,25,0.65,,25,2,2865,-38.2615305,175.1145451,0.64699793
Wellington City,8599,236,2.74,,111,12,34918,-41.2864603,174.776236,1.290847773
Western Bay of Plenty District,8127,78,0.96,,116,23,22443,-37.8754556,176.2158497,1.427340962
Westland District,1546,26,1.68,,3,0,2307,-44.2671365,168.4751945,0.194049159
Whakatane District,5908,128,2.17,,133,16,24396,-38.0203498,176.8220341,2.251184834
Whanganui District,7428,207,2.79,,266,29,30422,-39.9300887,175.0478901,3.581044696
Whangarei District,10208,305,2.99,,33,3,54592,-35.6878586,174.1857115,0.323275862